user_id,user_name,tweet_time,location,text
2334231240,Debbi Matteucci,Tue Aug 28 19:56:09 +0000 2018,San Francisco CA,@LindseyGrahamSC please dont loose the @SenJohnMcCain influence
2593882602,Robert Nash,Tue Aug 28 19:56:10 +0000 2018,Maricopa AZ,RT @selbalp: Agree! He was deserving of a Purple Heart but not worthy of the title military hero which is defined as a person who is a
999805424105803777,Dennis@millerd6,Tue Aug 28 19:56:10 +0000 2018,Ramona CA,It easy McCain didnt want @POTUS there. What would want him to do?#libtards
759123137321693184,Crooked (Crypto) Pictures,Tue Aug 28 19:56:11 +0000 2018,None,@Scifiscreen @patmcollis @Channel4News @realDonaldTrump @SenJohnMcCain Shhh you'll burst her bubble lol I'm sure sh https://t.co/9MZ3GVqRTt
43105114,Sandy {}{Q},Tue Aug 28 19:56:12 +0000 2018,Louisiana,RT @AnnaApp91838450: It Would Say He's Respecting McCain's WishesHe Told The World He DIDN'T Want Trump At His Funeral! You Dam Democrats
968025172438634496,Spydercat,Tue Aug 28 19:56:13 +0000 2018,Nancy Pelosi's Fabulous San Franshithole USA.,RT @Jali_Cat: Sometimes we get it right sometimes we dont. #JohnMcCain got it wrong in death. He could have brought pple together exten
2766239923,pierce d'art,Tue Aug 28 19:56:14 +0000 2018,out 'n about,RT @Jali_Cat: @HuffPost 2008: #JohnMcCain is mentally unfit to be president. @HuffPost 2012: #JohnMcCain is a racist and a woman hater. @
1022622446665588737,@nc0615  MAGA SUPER ELITE,Tue Aug 28 19:56:15 +0000 2018,Austin AR,RT @P_J_Kopp: @DrEtiquette @RedPillBlackMan I thought @SenJohnMcCain specifically did NOT want President @realDonaldTrump to attend? Isn't
3098633816,Robert M. Goldstein - American,Tue Aug 28 19:56:15 +0000 2018,San Francisco,RT @joncoopertweets: The best way to honor @SenJohnMcCains legacy and apparently his final wish would be for his wife Cindy to be name
1218485030,Christopher Raiola,Tue Aug 28 19:56:15 +0000 2018,NJ USA,That hes not a phony like you Ms Brazile !!
119740907, American Patriot  Q ,Tue Aug 28 19:56:15 +0000 2018,None,RT @IdyllicLiving: @donnabrazile #JohnMcCain asked him not to attend remember? If he attended youd be criticizing him for going against
823688779147968512,Charlene Wooden,Tue Aug 28 19:56:15 +0000 2018,Massachusetts USA,RT @nicolenavega: WATCH: Powerful words @esglaude The grief in the country around @SenJohnMcCain's death stands as a proxy of what we w
761566897955418112,JonAntono ,Tue Aug 28 19:56:15 +0000 2018,Sdost-Wisconsin USA,RT @TaggartRehnn: MB u should water it once in a while. https://t.co/7GjfkwSkYg
574040527,Barbara Castro,Tue Aug 28 19:56:16 +0000 2018,None,RT @wvjoe911: Cry me a river @LindseyGrahamSC of those crocodile tears. Your pretend sniffles and wavering voice while talking about @SenJ
860832549337272321,Mary Jean Pompeo,Tue Aug 28 19:56:18 +0000 2018,None,RT @TRafaelCimino: @LindseyGrahamSC @SenJohnMcCain The best way you can honor your friend is to stand up to @POTUS as he did. Show some g
