,user_id,user_name,tweet_time,location,text,sentiment
0,802657195661742080,Christine Warren,Wed Sep 12 01:38:14 +0000 2018,Fremont CA,2 American lives were just lost in #Tennessee. #POTUS please end the suffering. #BackfireTrump https://t.co/YEDmGzGT7g,0
1,1039245812230893570,Trumpservative,Wed Sep 12 01:38:16 +0000 2018,Tulsa OK,@real_farmacist @realDonaldTrump @TuckerCarlson Our Great Leader President Donald J. Trump can hold his breath for https://t.co/euWrVdRLd2,1
2,282084840,Darrel Sheldon #MAGAVETERAN,Wed Sep 12 01:38:18 +0000 2018,None,RT @rightgottweets: Rev out the #TrumpTrain for @BLUeMilwaukee @LibsRNutz @MOBO_FA @JosueDa54362271 @tanyakv @BoshellSandi,0
3,62315639,Queer Liberal Voting Snowflake,Wed Sep 12 01:38:18 +0000 2018,Big Sandy Texas,#Tennessee is suffering after shooting takes 2 lives. #POTUS stop the bloodshed. #BackfireTrump https://t.co/lCYkKccFcQ,0
4,823307049266245633,don jones #veteran (K),Wed Sep 12 01:38:19 +0000 2018,United States,RT @SassyT_Joy: @BCMsolt @fightinirish109 @dybarb @Wolfie_V3 @KevinHu63682270 @CNS15141 @DogsBCool @Punkin682 @hirschA8720 @MrsGoodoz @MAGA,-1
5,340428574,DelcoGal,Wed Sep 12 01:38:21 +0000 2018,Pennsylvania,RT @LouDobbs: #RedWaveRising @SidneyPowell1: This years midterm is the most important in the history of our country. We dont just need,1
6,1603928228,Julz,Wed Sep 12 01:38:22 +0000 2018,MIAATLPGH,2 lives were just lost in #Tennessee. #POTUS its time to do something. #BackfireTrump https://t.co/5AYAqUV2at,0
7,1865678516,Barbara Kuczinski,Wed Sep 12 01:38:22 +0000 2018,None,@MollyMPengra @RealJamesWoods @obama @MollyMPengra oh hon CNN reports the truth as fast as they can dream it up! #POTUS #MAGA,1
8,59288409,Josh Steed PhD,Wed Sep 12 01:38:25 +0000 2018,Arkansas ,RT @Jillibean557: #MSM is repulsive. They do nothing but lie and undermine #PresidentTrump.,0
9,325172419,Mrs. Linz,Wed Sep 12 01:38:25 +0000 2018,BC Canada,RT @JC61384960: @LoriCoutler @amymek Muslims coming illegally across the Southern Border. #maga #kag #BuildThatWall #votered #BuildTheDamn,2
10,2283127514,Garrett ODowd,Wed Sep 12 01:38:26 +0000 2018,Melbourne Victoria,RT @SirStevoTimothy: When you find out Donald Trump isn't coming to Ireland See us live in Newry this Saturday: https://t.co/8JilZmgAaB,1
11,17419972,AlanaP98,Wed Sep 12 01:38:26 +0000 2018,Texas,2 were just killed in #Tennessee. #POTUS its your job to take action. #BackfireTrump https://t.co/Tuj7KChBFM,2
12,781250109556289536,Cliff,Wed Sep 12 01:38:28 +0000 2018,Dale City VA,RT @LouDobbs: #RedWaveRising @SidneyPowell1: This years midterm is the most important in the history of our country. We dont just need,1
13,860477500153098240,7venout,Wed Sep 12 01:38:28 +0000 2018,None,RT @LouDobbs: #RedWaveRising @SidneyPowell1: This years midterm is the most important in the history of our country. We dont just need,1
14,961845634889236482,Mahgdalen Rose,Wed Sep 12 01:38:28 +0000 2018,None,RT @captain_maga: Did you know? Until #PresidentTrump took charge - We were doing #Obamacare not just here - but for those #Palestinians wh,0
15,819764782009958400,Brian Cartwright,Wed Sep 12 01:38:29 +0000 2018,None,RT @LouDobbs: #RedWaveRising @SidneyPowell1: This years midterm is the most important in the history of our country. We dont just need,1
16,2678120572,Steven Christopher I,Wed Sep 12 01:38:30 +0000 2018,Rotterdam NY,RT @cheri4trump: @realDonaldTrump OUR COMMANDER IN CHIEF #POTUS #TRUMP GAVE AN OUTSTANDING INSPIRING SPEECH AT THE FLIGHT 93 MEMORIAL SIT,1
17,21328716, Lisa Resists ,Wed Sep 12 01:38:30 +0000 2018,None,Shooting in #Tennessee just took 2. #POTUS please do something. #BackfireTrump https://t.co/CiMcxQ4xqA,0
18,632186707,Patricia Torney,Wed Sep 12 01:38:32 +0000 2018,None,RT @BeeHapp60295075: @Stella91764 @w_terrence Actually it is ... we have just become a lawless nation! Nobody is responsible ... starting,1
19,398178146,StopHandgunViolence,Wed Sep 12 01:38:34 +0000 2018,Boston MA,#Tennessee is suffering after shooting takes 2 lives. #POTUS stop the bloodshed. #BackfireTrump https://t.co/4oepmS18Dc,0
20,708480956957646848,Dana,Wed Sep 12 01:38:36 +0000 2018,Patriots Way USA,RT @ProudofAmerica1: Trump is my president! Get here https://t.co/ZwKO87CD1f #presidenttrump https://t.co/Nxo9xb2HMt,0
21,3020208837,Maximilian Schaff,Wed Sep 12 01:38:38 +0000 2018,None,2 American lives were just lost in #Tennessee. #POTUS please end the suffering. #BackfireTrump https://t.co/5BBK1XDNXs,0
22,268765856,Alex Cowell,Wed Sep 12 01:38:42 +0000 2018,CHill,2 American lives were just lost in #Tennessee. #POTUS please end the suffering. #BackfireTrump https://t.co/IS3p3gk9j1,0
23,1921066957,Anita Trevino,Wed Sep 12 01:38:46 +0000 2018,San Antonio TX,Shooting in #Tennessee just took 2. #POTUS please do something. #BackfireTrump https://t.co/tNNfwB4Yip,0
24,125361184,AZCowgirl,Wed Sep 12 01:38:47 +0000 2018,None,@realDonaldTrump When you have to get your info from Tucker @FoxNews you have no clue how to be #POTUS #TFA #September11th,0
25,3282598423,Patty Camps,Wed Sep 12 01:38:48 +0000 2018,Washington DC,RT @LouDobbs: #RedWaveRising @SidneyPowell1: This years midterm is the most important in the history of our country. We dont just need,1
26,2409177088,PantherElvis,Wed Sep 12 01:38:48 +0000 2018,NC,Also with Maxine Waters inciting folks to attact anyone who supports or works with #POTUS it adds a whole new le https://t.co/R8I9SVpd4P,1
27,912292486000795648,God Country Family,Wed Sep 12 01:38:49 +0000 2018,Texas USA,RT @POTUS_Schedule: Tuesday 11 September 2018 17:15 - No additional #POTUS travel outside the #WhiteHouse secure area expected today or to,1
28,1387975579,debk696,Wed Sep 12 01:38:50 +0000 2018,Kansas USA,#Tennessee is suffering after shooting takes 2 lives. #POTUS stop the bloodshed. #BackfireTrump https://t.co/CP8PkYj1iL,0
29,2757636064,Diann Alley      ,Wed Sep 12 01:38:52 +0000 2018,None,RT @Jillibean557: #MSM is repulsive. They do nothing but lie and undermine #PresidentTrump.,0
30,913062420461113344,Peter anamalece god,Wed Sep 12 01:38:52 +0000 2018,Vatican City,RT @LouDobbs: #RedWaveRising @SidneyPowell1: This years midterm is the most important in the history of our country. We dont just need,1
31,20529444,Mandy,Wed Sep 12 01:38:54 +0000 2018,Los ngeles Chile,2 were just killed in #Tennessee. #POTUS its your job to take action. #BackfireTrump https://t.co/Ba0UUrs3Zu,2
32,360343192,Daisy's can opener,Wed Sep 12 01:38:57 +0000 2018,New York,RT @MightyBusterBro: . 9-11 is ALSO the BENGHAZI ATTACK Anniversary In recent speeches OBAMA says it's a Republican Conspiracy Theory that,0
33,151633342,Ken Clark,Wed Sep 12 01:38:58 +0000 2018,East Helena MT,2 lives were just lost in #Tennessee. #POTUS its time to do something. #BackfireTrump https://t.co/1iweLWsWV3,0
34,751291181586190336,Marco Del Chiaro,Wed Sep 12 01:38:59 +0000 2018,Santa Barbara CA,Remember @realDonaldTrump campaigning &amp; telling everyone that on #September11th he went to #GroundZero &amp;helped dig https://t.co/nC6yqmEFDv,0
35,952981731900116992,vic ,Wed Sep 12 01:38:59 +0000 2018,None,RT @fboLoud: .@ryanmauro @SecNielsen please tell me what locations I can cross off Radical Islam Training Camps In USA #fboLoud #tcot #ma,-1
36,253637278, yvonne burton,Wed Sep 12 01:39:00 +0000 2018,ColliervilleTN,RT @LouDobbs: #RedWaveRising @SidneyPowell1: This years midterm is the most important in the history of our country. We dont just need,1
37,576827889,purplerQse59,Wed Sep 12 01:39:01 +0000 2018,Keizer OR,RT @LouDobbs: #RedWaveRising @SidneyPowell1: This years midterm is the most important in the history of our country. We dont just need,1
38,830136290742001666,V Torcia,Wed Sep 12 01:39:03 +0000 2018,None,RT @BrianPaulStuart: .@realDonaldTrump: Youre not only a loser; youre several clowns short of a circus. #DonaldTrump #25thAmendment https,0
39,921908237535993861,Space Cadet  ,Wed Sep 12 01:39:07 +0000 2018,South Carolina USA,RT @MightyBusterBro: . 9-11 is ALSO the BENGHAZI ATTACK Anniversary In recent speeches OBAMA says it's a Republican Conspiracy Theory that,0
40,882384845808250881,Dale Dixon,Wed Sep 12 01:39:08 +0000 2018,United States,RT @LouDobbs: #RedWaveRising @SidneyPowell1: This years midterm is the most important in the history of our country. We dont just need,1
41,715349560491520000,James DeLong,Wed Sep 12 01:39:08 +0000 2018,Houston Texas USA,@mallen5904 @SamHassenTN @Razorsmack1 @ChrisBragdon @LaunaSallai @SweetMaga45 @Maggieb1B @les_deplorable https://t.co/EZZcuIcimx,-1
42,3400141385,Citizen Maine.,Wed Sep 12 01:39:08 +0000 2018,Florida USA,RT @LouDobbs: #RedWaveRising @SidneyPowell1: This years midterm is the most important in the history of our country. We dont just need,1
43,1942789135,Haifisch Von Eisenhardt,Wed Sep 12 01:39:09 +0000 2018,United States,SHITFACE SCARED GREEDY SMELLY EVIL STUPID MORON. IF THEY GIVE HIM A PRESIDENTIAL LIBRARY I'LL BLOW IT UP.,2
44,22434030,Amy Campbell-Pittz,Wed Sep 12 01:39:10 +0000 2018,None,2 were just killed in #Tennessee. #POTUS its your job to take action. #BackfireTrump https://t.co/5zLZ8kQVdk,2
45,21593725,Sallee #chercrew ,Wed Sep 12 01:39:12 +0000 2018,South Pasadena CA,@realDonaldTrump I call bullshit. Your biggest concern is you (lack of) popularity. Youre so insecure. Still talki https://t.co/Aqw9vv1uYg,2
46,924492206777409536,Dani Silver,Wed Sep 12 01:39:14 +0000 2018,None,2 lives were just lost in #Tennessee. #POTUS its time to do something. #BackfireTrump https://t.co/ARZOEfbDnQ,0
47,810822426783318016,Kim White,Wed Sep 12 01:39:15 +0000 2018,United States,RT @gerfingerpoken: Barack Hussein Obama -- Leader of the Deep State Coup - American Thinker https://t.co/d71AkMKScX #KAG #MAGA #PJNET,0
48,63761348,Made In USA ,Wed Sep 12 01:39:16 +0000 2018,None,RT @B_Rush1776: Hard to believe #POTUS isnt Followed by anyone I know?? Hmmm @jack #QAnon https://t.co/qhR8wnwNiV,2
49,2992849735,Kathryn Moore,Wed Sep 12 01:39:20 +0000 2018,None,RT @LVNancy: The question of the day for Libtards: did #Trump brag that his was the tallest building after WTC fell? Here's your answer:,0
50,827606430614052864,Alan Laurie,Wed Sep 12 01:39:22 +0000 2018,None,2 lives were just lost in #Tennessee. #POTUS its time to do something. #BackfireTrump https://t.co/tIwk2Jzt64,0
51,526601851,MAGA-KAGLMRod49,Wed Sep 12 01:39:25 +0000 2018,Northern NJ,RT @LouDobbs: Tonights #QuoteOfTheDay is from President @realdonaldtrump. #MAGA #TrumpTrain #Dobbs https://t.co/Px77cRSOPW,0
52,18857707,JoAnne OBar Legat,Wed Sep 12 01:39:26 +0000 2018,Gadsden AL,Shooting in #Tennessee just took 2. #POTUS please do something. #BackfireTrump https://t.co/RMj5ZmmmXv,0
53,932074339624562689,Pam karr,Wed Sep 12 01:39:27 +0000 2018,SanAntonioTx,RT @alltooclear: Blackwidow HRCs victims are endless for the love of all humanity #LockHerUp #Qanon #POTUS https://t.co/M0ZjWy3VYz,1
54,3364848593,Anita,Wed Sep 12 01:39:28 +0000 2018,None,RT @ODesignzz: Unbelievable! SORRY! BUT THE REAL #POTUS IS @realDonaldTrump and will continue to be our POTUS in 2020! #maga2020 #maga #Nev,2
55,242653054,Donna ,Wed Sep 12 01:39:30 +0000 2018,United States,2 were just killed in #Tennessee. #POTUS its your job to take action. #BackfireTrump https://t.co/vu7yDW8DfA,2
56,1009970220679729152,Sean P. McCullough,Wed Sep 12 01:39:32 +0000 2018,Kentucky USA,RT @mikebwonder: Well Barack Obama doesn't think @realDonaldTrump can get anything done as #POTUS and now Michelle Obama thinks white women,0
57,714995227648503808,Chattycathy,Wed Sep 12 01:39:34 +0000 2018,None,RT @LouDobbs: #DrainTheSwamp @mattgaetz: Only transparency can expose the extent of the corruption and the cabal. We cant show the Amer,0
58,36198575,BizzyLee ,Wed Sep 12 01:39:34 +0000 2018,Cedar Park TX,2 lives were just lost in #Tennessee. #POTUS its time to do something. #BackfireTrump https://t.co/1okThX5kdk,0
59,779262744944119809,End Liberal White Guilt,Wed Sep 12 01:39:35 +0000 2018,Washington DC,If I was #DonaldTrump maybe he should investigate this case https://t.co/4WezolOIL0,0
60,34380944,Clyyde Phillips,Wed Sep 12 01:39:38 +0000 2018,Frisco Texas,#Tennessee is suffering after shooting takes 2 lives. #POTUS stop the bloodshed. #BackfireTrump https://t.co/fByJ3q6flP,0
61,65090629,Donna Alalem,Wed Sep 12 01:39:38 +0000 2018,Hawaii,RT @GeminiChris1972: #Tennessee is suffering after shooting takes 2 lives. #POTUS stop the bloodshed. #BackfireTrump https://t.co/lCYkKccF,0
62,2263754155,rh,Wed Sep 12 01:39:41 +0000 2018,Arizona USA,RT @2bfreegirl: .@POTUS .@realDonaldTrump u #MakeAmericaGreatAgain now we need to #TakeAmericaBackAgain https://t.co/AYvDPYBBwi,0
63,3282598423,Patty Camps,Wed Sep 12 01:39:41 +0000 2018,Washington DC,RT @LouDobbs: #DrainTheSwamp @mattgaetz: Only transparency can expose the extent of the corruption and the cabal. We cant show the Amer,0
