457,there is no bottom
918,they praise this dude but bash trump spare me
114,nothing will erase your fawning over for last months on earthnot one peep out of u whi
860,so i listened to heartfelt talk about his dear friend today and yes u showed true e
982,country first johnmccain countryfirst
191,i dont want to lower the flag he was mean to me trump is vindictive infantile asswipe who thinks the w
916,now that hes gone youre nothing but a miserable pack of bastards youre all going down with trump
663,this is a special kind of nauseating
923,stop being a hypocrite
295,malcomx tried to warn us not to trust comedians and entertainers with politics dlhughley is one of those comedians that w
82,yup something was very telling about statement today i may give him some leeway o
5,cat sometimes we get it right sometimes we dont johnmccain got it wrong in death he could have brought pple together exten
472,i was five times stronger
468,is a hero its a great loss our family offer you deepest condolences to his family
329,remember ur actions speak louder then ur words we do sympathize with u for ur loss
194,clearly was unaware of the info putin amp trump have on
768,rajavi people of iranampits resistance lost great support he was against mullahs ruling
862,from someone who knew him well rest in peace its an honor to have lived in america while you served it
624,today was supposed to be your shining moment this was destined to be your day you sold out your friend
520,the fact that this dumbass tweet got 100 like
109,i thought i was the only one to feel he is being blackmailed maybe
893,what does this say about the leadership of our country when a senator disinvites the president to his funeral a presi
368,being outraged about war is perfectly natural m
389,the best tribute would be to stop kowtowing to trump
56,when a person runs into a burning building and saves a child its heroic when that same person goes back 50 years l
852,you know theres an easy way trump could have avoided being victimized over this whole thing
563,cat our devoted djt was excluded from johnmccains funeral to fuel disgusting hatred and
489,maybe if you didnt abuse pills yourself
31,that your party has gone through great lengths to pay people off to say amp try just about anything to undermine him so
155,donna brazile how do you show your face in public when we know you participated in rigging an election donna what did hi
263,that time johnmccain called us low life scum
463,now waiting for graham to be that little bit of mccain he says he has in him
184,integrate k e a t i n g
545,s the reverse is actually the case for the first time in american history we have a sitting us senator issue a dying wish to
819,hmmmmm actually were off this why dont you explain why youre not fighting these
708,what a fabulous piece of history
870,you are such a two faced old fart blaming mccain for trumps petulant vindictive behavior
840,which is the real lindsey this one or the one with his thumb up his ass
208,demsmsm in 08 john mccain is a racist traitor and a womanizing bigot johnmccain despised president trump knowingly ga
59,plora it says is respecting mccains wishes what does your icons request say about him bitter
736,john thx4rt amp jon 4 update saw that on cspan mitch is just like djtpos amp lindsey too sells o
557,is this a gentlemans way of speaking to women is this the way our senators speak to others especially to women
983,sure didnt like him when he ran for president guess you should learn from that mistak
343,i wish the air force would take away his commission
551,my tribute to no ordinary warrior
616,sending deepest sympathy and prayers to you and your family during this difficult time
391,hes no man hell he aint even a mouse that prepared statement that he was forced to read was
164,he was an advocate for the american people but you are a russian troll mccain wou
932,this is what a vast majority of republicans in az must believe if they vote
15,very lovely tribute to by do you really want to honor your friend john denounce
372,if you really want to honor then stand up to as he did show a w
76,taibbi why did johnmccain continue to support war amp why has the rest of usa never come to terms with the defini
436,hillary stole the money for
770,mccain was no innocent inside or outside of politics mind most defin
937,are you sure its not too soon
265,you got black people crying over johnmccain death
498,people who think everything is about themthink everything is about them
29,youre such a disgrace to america hilary
292,just twitter message is not enough
58,followthewhiterabbit qanon greatawakening spygate maga igreport walkaway qanon johnmccain white house cmaawards
620,the world just lost another great man rip senator mccain johnmccain rip
614,and two american heroes and real patriots unlike our current president
997,honor him by being like him
74,cat what does it say about your american icon who asked that our not attend his funeral
248,it was an honor to protect during his candidacy for president phoenix may you rest in peace
120,what does it say about a member of msm who secretly funneled advance questions to a crooked clinton in preparation
534,needs to be removed from office this is a despicable take on his part theres no honor in the repub
698,we miss john mccain so much because he would have never said something like you did about
270,this is an old video of you would be proud of you if you said this today
617,lets not forget what he did for the vaespecially in the lovely state of arizona a
433,this points out the inherent selfishness of this woman the words she said are despicable michael leave the gop
659,i cried watching you this morning praise mccain now you go on hannity
956,petty very petty the selfinflicted wounds this wh puts itself through are amazing
796,im sure that the first thing that god said to was that he likes people that arent assholes ripjohnmc
931,he made a bad decision out of spitegt thats just wrong
407,to be clear using our flag in such a vindictive manner is more disrespectful than nfl players taking a knee against po
404,yes he did lindsey speaking today of sen john mccain moved me i
204,former brazile sailed thru the rigged debate scandal the slipping of questions to the lovely mrs clinton the ent
879,the leading democratic senator wants to honor john mccain by naming the russell senate office building after him but sena
30,girl please you were never a democrat nice try becky
134,pres trump is honoring mccains request that he not attend mccains funeral stop the hate president trump is hel
