,user_id,user_name,tweet_time,location,text,sentiment
0,2334231240,Debbi Matteucci,Tue Aug 28 19:56:09 +0000 2018,San Francisco CA,lindseygrahamsc please dont loose the senjohnmccain influence,negative
1,2593882602,Robert Nash,Tue Aug 28 19:56:10 +0000 2018,Maricopa AZ,selbalp agree he was deserving of a purple heart but not worthy of the title military hero which is defined as a person who is a,positive
2,999805424105803777,Dennis@millerd6,Tue Aug 28 19:56:10 +0000 2018,Ramona CA,it easy mccain didnt want potus there what would want him to dolibtards,positive
3,759123137321693184,Crooked (Crypto) Pictures,Tue Aug 28 19:56:11 +0000 2018,None,scifiscreen patmcollis channel4news realdonaldtrump senjohnmccain shhh youll burst her bubble lol im sure sh,positive
4,43105114,Sandy {}{Q},Tue Aug 28 19:56:12 +0000 2018,Louisiana,annaapp91838450 it would say hes respecting mccains wisheshe told the world he didnt want trump at his funeral you dam democrats,neutral
5,968025172438634496,Spydercat,Tue Aug 28 19:56:13 +0000 2018,Nancy Pelosi's Fabulous San Franshithole USA.,jalicat sometimes we get it right sometimes we dont johnmccain got it wrong in death he could have brought pple together exten,negative
6,2766239923,pierce d'art,Tue Aug 28 19:56:14 +0000 2018,out 'n about,jalicat huffpost 2008 johnmccain is mentally unfit to be president huffpost 2012 johnmccain is a racist and a woman hater,negative
7,1022622446665588737,@nc0615  MAGA SUPER ELITE,Tue Aug 28 19:56:15 +0000 2018,Austin AR,pjkopp dretiquette redpillblackman i thought senjohnmccain specifically did not want president realdonaldtrump to attend isnt,neutral
8,3098633816,Robert M. Goldstein - American,Tue Aug 28 19:56:15 +0000 2018,San Francisco,joncoopertweets the best way to honor senjohnmccains legacy and apparently his final wish would be for his wife cindy to be name,positive
9,1218485030,Christopher Raiola,Tue Aug 28 19:56:15 +0000 2018,NJ USA,that hes not a phony like you ms brazile,irrelevant
10,119740907, American Patriot  Q ,Tue Aug 28 19:56:15 +0000 2018,None,idyllicliving donnabrazile johnmccain asked him not to attend remember if he attended youd be criticizing him for going against,neutral
11,823688779147968512,Charlene Wooden,Tue Aug 28 19:56:15 +0000 2018,Massachusetts USA,nicolenavega watch powerful words esglaude the grief in the country around senjohnmccains death stands as a proxy of what we w,negative
12,761566897955418112,JonAntono ,Tue Aug 28 19:56:15 +0000 2018,Sdost-Wisconsin USA,taggartrehnn mb u should water it once in a while,irrelevant
13,574040527,Barbara Castro,Tue Aug 28 19:56:16 +0000 2018,None,wvjoe911 cry me a river lindseygrahamsc of those crocodile tears your pretend sniffles and wavering voice while talking about senj,irrelevant
14,860832549337272321,Mary Jean Pompeo,Tue Aug 28 19:56:18 +0000 2018,None,trafaelcimino lindseygrahamsc senjohnmccain the best way you can honor your friend is to stand up to potus as he did show some g,positive
15,4750192146,great grandma#FBR ,Tue Aug 28 19:56:18 +0000 2018,BurlingtonOregon ,dearauntcrabby very lovely tribute to senjohnmccain by lindseygrahamsc do you really want to honor your friend john denounce re,positive
16,846120601299255297,CindyjintheOC,Tue Aug 28 19:56:19 +0000 2018,Tustin CA,michaelsteele kelli ward really how utterly stupid do you have to be to believe that senjohnmccain ended medical treatment to sp,negative
17,824151785770196993,Elda Bruciaga,Tue Aug 28 19:56:19 +0000 2018,None,mitchellreports under pressure from american legion trump orders flag lowered at white house and other govt buildings until senjohnmc,negative
18,27653517,A human in Phoenix - #Resist,Tue Aug 28 19:56:19 +0000 2018,Phoenix AZ,d1vinman now cancelling the super bowl visit because the eagles werent gonna come anyway just as the warriors didnt wanna come so h,positive
19,464771557,Ana Ryan,Tue Aug 28 19:56:19 +0000 2018,None,michaeln1969 notthattherese christinawilkie senjohnmccain maybe now we dont think it was a big deal but it wa,neutral
20,931034636289036288,dapennetti  #MAGAveteran,Tue Aug 28 19:56:20 +0000 2018,United States,idyllicliving donnabrazile johnmccain asked him not to attend remember if he attended youd be criticizing him for going against,neutral
21,91025286,K Dub-ya,Tue Aug 28 19:56:21 +0000 2018,USA!! USA!!,michaelsteele kelli ward really how utterly stupid do you have to be to believe that senjohnmccain ended medical treatment to sp,negative
22,2774593987,jenhen,Tue Aug 28 19:56:21 +0000 2018,White Rock British Columbia,usmcliberal at reagans funeral thatcher sat next to gorbachevand at johnmccains funeral obama will give a eulogy that is how r,neutral
23,763468725370560513,MacKnowledge,Tue Aug 28 19:56:22 +0000 2018,USA,tomtugendhat ive written to jensstoltenberg calling for the new nato headquarters to be named after senjohnmccain few have given,negative
24,857991937,Joy Wilder,Tue Aug 28 19:56:22 +0000 2018,None,andrewfeinberg wow justwow,positive
25,71584155,Monica Alba,Tue Aug 28 19:56:23 +0000 2018,Washington DC,frankthorp the desk of senjohnmccain in the senate chamber draped in a black cloth with a vase of white flowers gt,negative
26,2766972108,Ellen Mercier,Tue Aug 28 19:56:24 +0000 2018,Connecticut USA,dearauntcrabby very lovely tribute to senjohnmccain by lindseygrahamsc do you really want to honor your friend john denounce re,positive
27,948971016633626624,Growler45,Tue Aug 28 19:56:24 +0000 2018,None,dutyofapatriot mccain publicly asked that he not attend potus is respecting a dying mans last request its about mccain amp family no,neutral
28,25114781,T For Love and Country ,Tue Aug 28 19:56:24 +0000 2018,USA,jalicat huffpost 2008 johnmccain is mentally unfit to be president huffpost 2012 johnmccain is a racist and a woman hater,negative
29,31731941,camille park,Tue Aug 28 19:56:24 +0000 2018,None,hillaryclinton senjohnmccain youre such a disgrace to america hilary,neutral
30,827154482265939968,Heather Millward,Tue Aug 28 19:56:25 +0000 2018,Seattle WA,knechtbecky senschumer senjohnmccain realdonaldtrump girl please you were never a democrat nice try becky,positive
31,1049403240,TT,Tue Aug 28 19:56:27 +0000 2018,United States,skyrider4538 that your party has gone through great lengths to pay people off to say amp try just about anything to undermine him so,positive
32,3351374110,LuvHaiden4Ever,Tue Aug 28 19:56:28 +0000 2018,None,peterdaou im old enough to remember when lindseygraham was considered to be johnmccains partner in resisting some of trumps exces,positive
33,941338067109138432,dona helene,Tue Aug 28 19:56:28 +0000 2018,USA,dutyofapatriot mccain publicly asked that he not attend potus is respecting a dying mans last request its about mccain amp family no,neutral
34,1022622446665588737,@nc0615  MAGA SUPER ELITE,Tue Aug 28 19:56:29 +0000 2018,Austin AR,theschwartz70 1deplorable42 pjkopp jules618790 dretiquette redpillblackman senjohnmccain realdonaldtrump you can support som,neutral
35,100283279,Michael Wilker,Tue Aug 28 19:56:29 +0000 2018,Washington DC,lindseygrahamsc thank you littlejerk senjohnmccain would be proud cindymccain sorry for your loss,positive
36,2892971,Becky Bond ,Tue Aug 28 19:56:29 +0000 2018,San Francisco,after chuckschumer failed even to pander to republicans successfully following the death of senjohnmccain he to,negative
37,232968723,mo,Tue Aug 28 19:56:29 +0000 2018,Lost and marching on.,patrickesque i am laughing at all the angry replies from trump supporters cindy has no experience lol neither did donald trump,positive
38,587451697, Roger Barker ,Tue Aug 28 19:56:32 +0000 2018,Maryland USA,joyful412 donnabrazile is says that johnmccain was bitter man who never got over losing not once but twice and took it out on a vir,negative
39,768140059497365504,Phillip Fuhrer,Tue Aug 28 19:56:33 +0000 2018,Chicago IL,kelly2277 when senjohnmccain received the steele dossier and saw manafort putin and yanukovychs name in the same sentence he imme,neutral
40,2918753498,Dana Jensen,Tue Aug 28 19:56:34 +0000 2018,None,dbloom451 i wasnt going to do this but the media thedemocrats and nevertrump fawning over senator mccain as a way to bash presid,neutral
41,750478372430417920,Jean,Tue Aug 28 19:56:35 +0000 2018,Pleasant Hill CA,kelly2277 when senjohnmccain received the steele dossier and saw manafort putin and yanukovychs name in the same sentence he imme,neutral
42,39151099,Rendy21,Tue Aug 28 19:56:36 +0000 2018,None,michaelsteele kelli ward really how utterly stupid do you have to be to believe that senjohnmccain ended medical treatment to sp,negative
43,3423249989,NYRJIHADJOE,Tue Aug 28 19:56:36 +0000 2018,Baldwin  NY,idyllicliving donnabrazile johnmccain asked him not to attend remember if he attended youd be criticizing him for going against,neutral
44,438896314,Taylor Goodspeed,Tue Aug 28 19:56:37 +0000 2018,New York NY,johnkasich i urge my fellow governors to lower flags in honor of senjohnmccain,neutral
45,2861558229,Thorsten Rhlemann,Tue Aug 28 19:56:40 +0000 2018,Washington DC,massservice thank you senator john mccain for being a true champion of national service and supporting the expansion of service opport,positive
46,567497808,Chris Gallison,Tue Aug 28 19:56:41 +0000 2018,Northern Alabama,wvjoe911 cry me a river lindseygrahamsc of those crocodile tears your pretend sniffles and wavering voice while talking about senj,irrelevant
47,709600530285211648,TapperFactChucksMyMercatusM4A&SharkOpsFish,Tue Aug 28 19:56:43 +0000 2018,None,you should read this up to four paragraphs transcribed only a few dozen pages left to transcribe this things,negative
48,2830424029,Marc Nelson,Tue Aug 28 19:56:43 +0000 2018,None,scaramucci our flag is at halfstaff honoring a veteran like senjohnmccain should be above politics and personal grievance,neutral
49,253859785,Annette Marfia,Tue Aug 28 19:56:44 +0000 2018,None,peterdaou sincere question how can republican senators stand there and claim to honor johnmccain when theyve been gutless sellouts,positive
50,22730219,rvtil@yahoo.com,Tue Aug 28 19:56:44 +0000 2018,Walled Lake MI Lake Placid FL,dearauntcrabby very lovely tribute to senjohnmccain by lindseygrahamsc do you really want to honor your friend john denounce re,positive
51,53726227,SDinChandler,Tue Aug 28 19:56:44 +0000 2018,Chandler AZ,didnt affect my opinion realdonaldtrumps been a spineless racist for as long as i can remember johnmccain,negative
52,2312036022,pamela bull,Tue Aug 28 19:56:44 +0000 2018,None,dutyofapatriot mccain publicly asked that he not attend potus is respecting a dying mans last request its about mccain amp family no,neutral
53,18106259,John Lander,Tue Aug 28 19:56:45 +0000 2018,Kanagawa-ken Japan,lindseygrahamsc senjohnmccain kompromat lindsey what felony is it or just necrophilia child porn leather queen,neutral
54,1049403240,TT,Tue Aug 28 19:56:45 +0000 2018,United States,cb618444 what does it say trump is a great judge or character or lack thereof its beyond how drats love songbirdits bec,positive
55,750905187783544832,Brion Adair,Tue Aug 28 19:56:46 +0000 2018,None,blysx whyd this little fokker always look so god damn happy when he was around people killing millions of women and children john,positive
56,798771418812948480,A B Jackson,Tue Aug 28 19:56:46 +0000 2018,None,when a person runs into a burning building and saves a child its heroic when that same person goes back 50 years l,positive
57,1215244238,Sweden #realnews,Tue Aug 28 19:56:46 +0000 2018,None,zibalady1 johnmccain never missed a chance to stab someone in the back this time he stabbed wethepeople in the back songbirdjohn,neutral
58,831718417635930116,Deanna Joyce Earnest,Tue Aug 28 19:56:47 +0000 2018,None,newspuppet followthewhiterabbit qanon greatawakening spygate maga igreport walkaway qanon johnmccain white house cmaawards,neutral
59,954596279572619264,mindersue,Tue Aug 28 19:56:48 +0000 2018,United States,diplora it says potus is respecting mccains wishes what does your icons request say about him bitter,negative
60,203281129,RCD0523,Tue Aug 28 19:56:49 +0000 2018,Boston MA,mitchellreports beschlossdc nicolledwallace senjohnmccain 11thhour i wish this was true but i am skeptical,negative
61,1010577258376040448,FreeDumbCaucus,Tue Aug 28 19:56:50 +0000 2018,None,he served himself,irrelevant
62,514925757,Jaladah Aslam,Tue Aug 28 19:56:50 +0000 2018,Ohio,michaelsteele kelli ward really how utterly stupid do you have to be to believe that senjohnmccain ended medical treatment to sp,negative
63,58364692, myLove4MJ ,Tue Aug 28 19:56:51 +0000 2018,#MAGA,dretiquette i can only imagine how awkward you must have felt when obama snubbed nancy reagans funeral,negative
64,17598567,Jeremy Zrimsek ,Tue Aug 28 19:56:52 +0000 2018,Pennsylvania USA,mitchellreports under pressure from american legion trump orders flag lowered at white house and other govt buildings until senjohnmc,negative
65,2416206530,Marlene Clarkin,Tue Aug 28 19:56:52 +0000 2018,None,somalianfacts therickydavila unfortunately he doublecrossing stab johnmccain in the back sucking up to fivetime draft dodger,negative
66,1010604030274355200,Shellie Ash-Jones,Tue Aug 28 19:56:53 +0000 2018,Missouri USA,theadamgreen bitchas22791299 senatemajldr senjohnmccain if thats how you interpret it i see it more as not just blindly following,positive
67,2608713888,Kiki ,Tue Aug 28 19:56:53 +0000 2018,Where God's Will Is,senatemajldr senjohnmccain enough already many die and there are many heroes,positive
68,1345613497,Raine ,Tue Aug 28 19:56:54 +0000 2018,Earth?,dearauntcrabby very lovely tribute to senjohnmccain by lindseygrahamsc do you really want to honor your friend john denounce re,positive
69,987499799317532672,robert brill,Tue Aug 28 19:56:55 +0000 2018,None,vvamerica betty04516057 realdonaldtrump senjohnmccain in memory of the vietnam war hr299 for the sailors of blu,neutral
70,369161036,Cim Cardashian,Tue Aug 28 19:56:55 +0000 2018,Chicago,someone got to realdonaldtrump amp made him lower the flag to honor senjohnmccain you know he hated doing it becaus,negative
71,835256481427701760,Sherri,Tue Aug 28 19:56:55 +0000 2018,NJ,dearauntcrabby very lovely tribute to senjohnmccain by lindseygrahamsc do you really want to honor your friend john denounce re,positive
72,839495755203162112,Sasmenot,Tue Aug 28 19:56:56 +0000 2018,None,jalicat geraldorivera cindymccain is not at all qualified to be a senator her agenda will be a mirror that of her late traitor hus,negative
73,3974137947,Clay8745,Tue Aug 28 19:56:56 +0000 2018,Tavares FL,joncoopertweets robertajames1 senjohnmccain she dont know shit about our needsall these years and she has,negative
74,1930755211,SailorDan_Tweets,Tue Aug 28 19:56:56 +0000 2018,None,jalicat donnabrazile what does it say about your american icon senjohnmccain who asked that our potus not attend his funeral,neutral
75,4595689636,Michael Duff,Tue Aug 28 19:56:56 +0000 2018,None,peterdaou im old enough to remember when lindseygraham was considered to be johnmccains partner in resisting some of trumps exces,positive
76,18478514,kppotatoes,Tue Aug 28 19:56:57 +0000 2018,USA,taibbi why did johnmccain continue to support war amp why has the rest of usa never come to terms with the defini,neutral
77,34167323,Dean Fredriksen,Tue Aug 28 19:56:57 +0000 2018,SuwaneeGA,jzembik so i have a senjohnmccain story in december of 2003 my cousin a massachusetts resident was injured by a roadside bomb in,neutral
78,125262135,Kat The Opinionated One!,Tue Aug 28 19:56:57 +0000 2018,Born GA. Raised AZ. Stuck TN,michaelsteele kelli ward really how utterly stupid do you have to be to believe that senjohnmccain ended medical treatment to sp,negative
79,924106202,Vic Bullard,Tue Aug 28 19:56:59 +0000 2018,East Flat Rock NC,malcolmnance im not crying youre crying goodbyejohnmccain,negative
80,2767562372,Dean,Tue Aug 28 19:57:00 +0000 2018,Canada,mitchellreports under pressure from american legion trump orders flag lowered at white house and other govt buildings until senjohnmc,negative
81,32297981,Ruthie McCollough,Tue Aug 28 19:57:00 +0000 2018,None,senronjohnson senjohnmccain was a tireless advocate for americas values and principles throughout the world,neutral
82,884828022850891778,MeThePeople,Tue Aug 28 19:57:00 +0000 2018,United States,drdenagrayson yup something was very telling about lindseygrahamsc statement today i may give him some leeway o,positive
83,58525387,Clay Adams #BoycottNRA,Tue Aug 28 19:57:02 +0000 2018,None,andyostroy dear lindseygrahamscur pain over the loss of ur dear friend johnmccain is clear and im truly sorry for ur loss now,negative
84,3515556808,Keith Puchtel,Tue Aug 28 19:57:02 +0000 2018,Delray Beach FL,jalicat huffpost 2008 johnmccain is mentally unfit to be president huffpost 2012 johnmccain is a racist and a woman hater,negative
85,1232511270,robin baker,Tue Aug 28 19:57:05 +0000 2018,None,nickiegreer did you attend seth richs funeral or did you just send flowers and debate questions,irrelevant
